SRR1178359	SRR1178365	SRR1178366	SRR1178367	SRR1178368	SRR1178369	SRR1178370	SRR1178360	SRR1178371	SRR1178372	SRR1178361	SRR1178362	SRR1178363	SRR1178364
ASV.1	418	436	0	29	0	1494	791	0	2307	0	17	2310	3740	950
ASV.2	48	691	3301	1229	960	38	18	13	6	1477	18	0	0	0
ASV.3	3076	0	0	0	0	7	0	0	0	0	0	0	0	0
ASV.4	9	0	55	0	1673	0	0	0	0	0	0	0	0	0
ASV.5	0	0	0	0	0	0	0	1533	0	0	0	0	0	0
ASV.6	0	0	182	0	1213	0	0	0	0	0	0	0	0	0
ASV.7	0	0	0	0	0	0	0	0	0	0	0	0	1347	0
ASV.8	0	964	0	0	0	0	0	0	0	337	0	0	0	0
ASV.9	0	0	0	0	0	0	0	0	0	0	0	0	0	908
ASV.10	0	0	0	0	0	0	0	0	0	0	0	760	0	0
ASV.11	0	0	0	0	0	759	0	0	0	0	0	0	0	0
ASV.12	0	0	750	0	0	0	0	0	0	0	0	0	0	0
ASV.13	0	0	0	0	0	630	0	0	0	0	0	0	0	0
ASV.14	0	0	0	0	0	0	0	0	0	546	0	0	0	0
ASV.15	0	0	0	0	0	0	0	0	0	541	0	0	0	0
ASV.16	0	0	0	0	0	0	0	0	0	0	0	0	0	536
ASV.17	0	0	0	0	507	0	0	0	0	0	0	0	0	0
ASV.18	0	0	0	0	0	0	0	0	376	0	0	0	0	0
ASV.19	0	0	0	0	0	0	0	0	0	0	0	0	0	283
ASV.20	0	0	0	0	0	0	0	0	0	0	0	0	0	250
ASV.21	244	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.22	0	0	0	0	0	0	0	0	0	0	0	0	0	230
ASV.23	0	0	0	0	0	211	0	0	0	0	0	0	0	0
ASV.24	0	0	0	0	0	0	0	0	0	0	208	0	0	0
ASV.25	0	0	207	0	0	0	0	0	0	0	0	0	0	0
ASV.26	0	0	0	0	206	0	0	0	0	0	0	0	0	0
ASV.27	0	204	0	0	0	0	0	0	0	0	0	0	0	0
ASV.28	0	0	0	0	0	0	0	0	0	0	0	0	0	201
ASV.29	0	0	0	0	0	0	0	0	162	0	0	0	0	0
ASV.30	0	0	0	0	161	0	0	0	0	0	0	0	0	0
ASV.31	0	0	0	0	159	0	0	0	0	0	0	0	0	0
ASV.32	0	155	0	0	0	0	0	0	0	0	0	0	0	0
ASV.33	0	154	0	0	0	0	0	0	0	0	0	0	0	0
ASV.34	0	0	0	0	0	0	0	0	0	0	0	0	0	137
ASV.35	122	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.37	0	0	0	0	0	122	0	0	0	0	0	0	0	0
ASV.38	0	0	0	0	121	0	0	0	0	0	0	0	0	0
ASV.39	0	0	0	0	110	0	0	0	0	0	0	0	0	0
ASV.40	0	0	0	0	106	0	0	0	0	0	0	0	0	0
ASV.41	0	100	0	0	0	0	0	0	0	0	0	0	0	0
ASV.42	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ASV.43	0	0	0	0	98	0	0	0	0	0	0	0	0	0
ASV.44	14	0	0	0	0	0	0	82	0	0	0	0	0	0
ASV.45	0	0	0	0	0	0	0	0	0	78	0	0	0	0
ASV.47	0	0	0	0	0	0	0	0	0	0	0	0	0	69
ASV.48	66	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.49	0	0	0	0	0	0	0	0	0	0	0	0	0	65
ASV.50	0	59	0	0	0	0	0	0	0	0	0	0	0	0
ASV.53	0	0	0	0	0	0	0	0	0	0	0	0	0	57
ASV.54	0	0	52	0	0	0	0	0	0	0	0	0	0	0
ASV.55	0	47	0	0	0	0	0	0	0	0	0	0	0	0
ASV.56	0	0	0	0	0	0	46	0	0	0	0	0	0	0
ASV.57	5	8	14	6	9	0	3	0	0	0	0	0	0	0
ASV.58	0	0	0	0	0	0	0	42	0	0	0	0	0	0
ASV.61	0	0	0	0	0	0	0	0	36	0	0	0	0	0
ASV.62	13	0	0	0	7	13	0	0	0	0	0	0	0	0
ASV.63	0	0	0	0	14	11	0	0	0	0	8	0	0	0
ASV.65	0	0	0	0	0	0	0	32	0	0	0	0	0	0
ASV.66	13	0	0	0	0	0	0	17	0	0	0	0	0	0
ASV.67	0	0	20	0	0	0	0	0	0	0	0	0	0	10
ASV.68	0	0	0	0	0	0	0	10	0	0	0	19	0	0
ASV.69	0	0	0	0	0	0	0	0	0	0	29	0	0	0
ASV.70	0	0	0	0	0	0	0	0	28	0	0	0	0	0
ASV.71	0	0	27	0	0	0	0	0	0	0	0	0	0	0
ASV.72	0	0	0	0	0	0	0	0	26	0	0	0	0	0
ASV.73	0	7	10	0	0	8	0	0	0	0	0	0	0	0
ASV.74	0	0	0	0	0	0	0	0	0	0	25	0	0	0
ASV.76	0	0	0	0	0	0	23	0	0	0	0	0	0	0
ASV.78	0	0	0	0	0	0	0	21	0	0	0	0	0	0
ASV.79	0	0	0	0	0	0	0	0	0	0	0	21	0	0
ASV.80	0	0	0	0	0	0	0	0	0	0	20	0	0	0
ASV.81	0	0	0	0	0	0	19	0	0	0	0	0	0	0
ASV.82	0	0	0	0	0	0	19	0	0	0	0	0	0	0
ASV.83	0	0	0	0	0	0	0	0	0	19	0	0	0	0
ASV.84	0	0	18	0	0	0	0	0	0	0	0	0	0	0
ASV.86	0	0	0	18	0	0	0	0	0	0	0	0	0	0
ASV.87	0	0	0	0	0	8	0	0	10	0	0	0	0	0
ASV.88	0	0	0	0	0	0	0	0	18	0	0	0	0	0
ASV.89	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV.90	0	0	0	0	16	0	0	0	0	0	0	0	0	0
ASV.91	0	0	0	0	0	0	16	0	0	0	0	0	0	0
ASV.92	0	0	0	0	0	0	0	16	0	0	0	0	0	0
ASV.93	0	0	0	0	0	0	0	0	16	0	0	0	0	0
ASV.95	0	0	0	0	0	0	15	0	0	0	0	0	0	0
ASV.97	0	3	4	0	0	0	0	0	7	0	0	0	0	0
ASV.98	0	0	0	0	0	0	0	0	0	0	14	0	0	0
ASV.99	13	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.100	0	0	13	0	0	0	0	0	0	0	0	0	0	0
ASV.101	0	0	0	0	13	0	0	0	0	0	0	0	0	0
ASV.102	0	0	0	0	13	0	0	0	0	0	0	0	0	0
ASV.104	0	0	0	0	0	13	0	0	0	0	0	0	0	0
ASV.105	12	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.106	0	0	0	0	12	0	0	0	0	0	0	0	0	0
ASV.107	0	0	0	0	0	0	0	0	12	0	0	0	0	0
ASV.108	0	0	0	0	0	0	0	0	0	0	12	0	0	0
ASV.109	0	11	0	0	0	0	0	0	0	0	0	0	0	0
ASV.110	0	0	0	0	0	0	0	11	0	0	0	0	0	0
ASV.111	0	0	0	0	0	0	0	0	11	0	0	0	0	0
ASV.113	0	0	0	0	0	10	0	0	0	0	0	0	0	0
ASV.114	0	0	0	0	0	0	0	10	0	0	0	0	0	0
ASV.115	0	0	0	0	0	0	0	0	0	0	0	10	0	0
ASV.116	0	0	0	0	0	0	0	0	0	0	0	0	0	10
ASV.117	9	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.118	0	0	0	0	0	9	0	0	0	0	0	0	0	0
ASV.119	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ASV.120	0	0	0	0	0	0	0	9	0	0	0	0	0	0
ASV.121	0	0	0	0	0	0	0	0	9	0	0	0	0	0
ASV.123	0	0	0	0	0	0	0	0	0	0	9	0	0	0
ASV.125	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ASV.126	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ASV.127	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ASV.129	0	0	0	0	0	8	0	0	0	0	0	0	0	0
ASV.130	0	0	0	0	0	8	0	0	0	0	0	0	0	0
ASV.131	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ASV.132	0	0	0	0	0	0	0	8	0	0	0	0	0	0
ASV.133	0	0	0	0	0	0	0	8	0	0	0	0	0	0
ASV.134	0	0	0	0	0	0	0	0	8	0	0	0	0	0
ASV.135	0	0	0	0	0	0	0	0	0	0	8	0	0	0
ASV.136	0	0	0	0	0	0	0	0	0	0	8	0	0	0
ASV.137	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV.138	0	0	7	0	0	0	0	0	0	0	0	0	0	0
ASV.140	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ASV.141	0	0	0	0	0	0	0	7	0	0	0	0	0	0
ASV.142	0	0	0	0	0	0	0	0	7	0	0	0	0	0
ASV.145	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ASV.146	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ASV.147	0	0	0	0	0	6	0	0	0	0	0	0	0	0
ASV.148	0	0	0	0	0	6	0	0	0	0	0	0	0	0
ASV.149	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ASV.150	0	0	0	0	0	0	0	6	0	0	0	0	0	0
ASV.151	0	0	0	0	0	0	0	0	6	0	0	0	0	0
ASV.152	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ASV.153	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ASV.154	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV.155	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV.156	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV.157	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ASV.162	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ASV.163	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ASV.164	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ASV.165	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ASV.167	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV.168	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ASV.169	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV.170	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV.173	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV.174	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV.175	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV.178	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV.181	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV.183	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV.184	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV.186	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV.189	0	0	0	0	2	0	0	0	0	0	0	0	0	0
