Gradoville77-68482	Gradoville78-68483	Gradoville79-68494	Gradoville80-68495	Gradoville81-68522	Gradoville82-68523	Gradoville83-68541	Gradoville84-68542	Gradoville85-68893	Gradoville86-68894	Gradoville87-68911	Gradoville88-68912
ASV.1	6568	7809	14902	9672	23597	26337	25014	29426	17563	20512	16076	21976
ASV.2	14518	19097	54	0	17	0	0	0	0	0	96	46
ASV.3	735	578	667	740	1771	1443	0	23	279	352	2848	3430
ASV.4	28	40	0	23	484	714	371	899	2296	1780	1343	1593
ASV.5	0	0	0	73	7285	0	0	0	1850	0	0	278
ASV.6	2312	2658	581	706	676	468	0	0	0	0	498	456
ASV.7	767	993	439	388	778	763	0	72	0	0	824	667
ASV.8	0	60	0	21	305	217	515	1800	695	1471	31	0
ASV.9	0	0	711	728	325	1505	0	0	268	548	404	443
ASV.10	0	141	2363	722	0	1390	0	0	0	0	0	95
ASV.11	0	0	0	0	203	253	1021	1518	438	661	196	267
ASV.12	1895	2646	0	0	0	0	0	0	0	0	0	0
ASV.14	315	115	790	765	418	202	0	0	181	135	171	347
ASV.18	0	0	617	1854	0	0	0	0	0	0	0	0
ASV.21	495	441	66	989	295	0	0	0	0	0	0	0
ASV.22	0	0	0	0	0	0	0	0	102	0	513	1533
ASV.23	688	1359	0	0	0	0	0	0	0	0	0	0
ASV.25	138	32	368	426	246	228	0	0	0	82	0	298
ASV.27	0	0	0	0	117	84	442	303	143	358	91	188
ASV.28	262	402	0	438	0	0	0	0	0	0	0	593
ASV.30	269	419	107	184	378	167	0	0	0	0	0	82
ASV.31	655	649	0	0	0	0	0	0	0	0	0	0
ASV.32	0	0	0	0	80	46	141	186	310	420	61	41
ASV.34	0	0	1164	0	0	0	0	0	0	0	0	0
ASV.37	582	468	0	0	0	0	0	0	0	0	0	0
ASV.39	534	460	0	0	0	0	0	0	0	0	0	0
ASV.41	0	0	0	0	0	24	109	105	278	429	0	0
ASV.42	8	142	192	107	448	44	0	0	0	0	0	0
ASV.43	323	603	0	0	0	0	0	0	0	0	0	0
ASV.44	344	524	0	0	0	0	0	0	0	0	0	0
ASV.46	465	371	0	0	0	0	0	0	0	0	0	0
ASV.50	225	562	0	0	0	0	0	0	0	0	0	0
ASV.52	232	516	0	0	0	0	0	0	0	0	0	0
ASV.55	0	0	0	0	0	0	143	165	133	195	46	0
ASV.56	0	0	0	0	189	108	0	0	0	162	151	57
ASV.59	0	0	0	0	0	0	346	0	0	0	301	0
ASV.60	0	170	0	0	79	0	0	0	0	0	384	0
ASV.61	0	68	0	0	0	84	57	61	15	329	0	0
ASV.62	290	310	0	0	0	0	0	0	0	0	0	0
ASV.63	140	177	106	0	95	78	0	0	0	0	0	0
ASV.67	104	28	110	142	67	12	0	0	0	0	29	70
ASV.69	0	0	0	0	0	27	531	0	0	0	0	0
ASV.71	0	0	100	129	110	152	0	0	0	0	22	33
ASV.73	481	51	0	0	0	0	0	0	0	0	0	0
ASV.74	0	0	124	161	97	0	0	35	0	115	0	0
ASV.78	0	0	0	0	24	19	83	102	95	141	0	17
ASV.81	0	432	0	0	0	0	0	0	0	0	0	0
ASV.82	0	0	0	0	0	0	191	126	81	14	0	0
ASV.83	0	0	0	0	26	14	69	77	72	101	37	13
ASV.94	118	188	0	0	0	0	0	0	0	0	0	0
ASV.96	0	98	0	0	0	0	0	0	0	0	59	147
ASV.99	0	0	42	58	62	107	0	0	0	0	15	11
ASV.107	0	0	0	0	0	0	0	0	0	0	0	256
ASV.111	0	0	0	0	0	0	149	96	0	0	0	0
ASV.113	117	121	0	0	0	0	0	0	0	0	0	0
ASV.121	21	202	0	0	0	0	0	0	0	0	0	0
ASV.122	0	10	0	18	41	27	0	0	20	107	0	0
ASV.127	0	0	59	156	0	0	0	0	0	0	0	0
ASV.129	212	0	0	0	0	0	0	0	0	0	0	0
ASV.138	0	0	201	0	0	0	0	0	0	0	0	0
ASV.142	0	0	0	0	49	33	0	0	34	28	29	18
ASV.148	42	141	0	0	0	0	0	0	0	0	0	0
ASV.164	0	0	0	0	48	108	0	0	0	0	0	7
ASV.168	158	0	0	0	0	0	0	0	0	0	0	0
ASV.179	151	0	0	0	0	0	0	0	0	0	0	0
ASV.181	0	0	0	0	0	0	0	119	0	31	0	0
ASV.182	0	0	0	0	0	0	0	0	149	0	0	0
ASV.201	0	0	0	0	28	0	8	0	19	70	0	0
ASV.204	0	0	0	0	0	0	0	120	0	0	0	0
ASV.208	0	117	0	0	0	0	0	0	0	0	0	0
ASV.222	0	0	14	27	37	28	0	0	0	0	0	0
ASV.235	0	0	0	0	0	0	0	0	95	0	0	0
ASV.239	0	0	0	0	0	0	0	0	88	0	0	0
ASV.242	31	55	0	0	0	0	0	0	0	0	0	0
ASV.245	0	85	0	0	0	0	0	0	0	0	0	0
ASV.246	0	0	0	85	0	0	0	0	0	0	0	0
ASV.253	0	0	0	0	0	0	0	0	0	0	82	0
ASV.257	0	0	0	0	0	25	0	0	0	0	42	11
ASV.260	0	0	0	0	0	0	8	6	0	63	0	0
ASV.285	65	0	0	0	0	0	0	0	0	0	0	0
ASV.297	0	0	61	0	0	0	0	0	0	0	0	0
ASV.299	21	39	0	0	0	0	0	0	0	0	0	0
ASV.304	0	0	0	0	13	43	0	0	0	0	0	3
ASV.307	0	0	0	0	0	0	0	57	0	0	0	0
ASV.308	4	5	7	3	0	13	0	0	0	0	12	12
ASV.320	0	0	0	0	6	42	0	0	0	0	0	4
ASV.347	0	0	0	0	0	14	0	0	0	0	29	0
ASV.358	0	0	0	0	0	0	0	0	0	0	41	0
ASV.380	0	37	0	0	0	0	0	0	0	0	0	0
ASV.391	35	0	0	0	0	0	0	0	0	0	0	0
ASV.398	0	34	0	0	0	0	0	0	0	0	0	0
ASV.400	0	0	33	0	0	0	0	0	0	0	0	0
ASV.406	0	0	0	0	0	0	0	0	0	0	33	0
ASV.411	0	0	0	0	0	0	32	0	0	0	0	0
ASV.418	0	0	0	0	10	11	0	0	10	0	0	0
ASV.421	0	0	0	0	0	0	14	0	0	0	17	0
ASV.422	0	0	0	0	0	0	0	0	0	0	31	0
ASV.489	0	0	0	0	0	0	0	0	0	24	0	0
ASV.490	10	13	0	0	0	0	0	0	0	0	0	0
ASV.494	0	0	0	23	0	0	0	0	0	0	0	0
ASV.506	0	0	0	0	0	18	4	0	0	0	0	0
ASV.519	0	0	0	0	0	0	0	0	0	21	0	0
ASV.542	3	15	0	0	0	0	0	0	0	0	0	0
ASV.604	0	0	0	0	0	0	10	5	0	0	0	0
ASV.605	0	0	0	0	0	0	0	0	0	0	15	0
ASV.619	0	0	0	0	14	0	0	0	0	0	0	0
ASV.623	0	0	0	0	0	2	0	0	0	0	8	4
ASV.659	0	0	0	12	0	0	0	0	0	0	0	0
ASV.667	0	0	0	0	0	0	12	0	0	0	0	0
ASV.685	0	0	11	0	0	0	0	0	0	0	0	0
ASV.695	0	0	0	0	0	0	0	0	2	9	0	0
ASV.700	0	0	0	0	0	0	0	0	0	0	0	11
ASV.721	0	0	0	10	0	0	0	0	0	0	0	0
ASV.758	0	0	0	0	9	0	0	0	0	0	0	0
ASV.802	0	0	0	0	0	0	8	0	0	0	0	0
ASV.858	0	0	0	0	0	0	7	0	0	0	0	0
ASV.862	0	0	0	0	0	0	0	0	7	0	0	0
ASV.864	0	0	0	0	0	0	0	0	0	7	0	0
ASV.866	0	0	0	0	0	0	0	0	0	0	0	7
ASV.913	0	0	0	0	0	6	0	0	0	0	0	0
ASV.917	0	0	0	0	0	0	4	2	0	0	0	0
ASV.931	0	0	0	0	0	0	0	0	0	0	6	0
ASV.979	0	0	5	0	0	0	0	0	0	0	0	0
ASV.990	0	0	0	5	0	0	0	0	0	0	0	0
ASV.1016	0	0	0	0	0	0	0	5	0	0	0	0
ASV.1017	0	0	0	0	0	0	0	5	0	0	0	0
ASV.1049	4	0	0	0	0	0	0	0	0	0	0	0
ASV.1076	0	0	4	0	0	0	0	0	0	0	0	0
ASV.1091	0	0	0	0	4	0	0	0	0	0	0	0
ASV.1230	0	0	0	3	0	0	0	0	0	0	0	0
ASV.1277	0	0	0	0	0	0	0	3	0	0	0	0
ASV.1386	0	2	0	0	0	0	0	0	0	0	0	0
ASV.1519	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1523	0	0	0	0	0	0	2	0	0	0	0	0
ASV.1531	0	0	0	0	0	0	0	0	2	0	0	0
ASV.1758	0	1	0	0	0	0	0	0	0	0	0	0
ASV.1836	0	0	0	1	0	0	0	0	0	0	0	0
ASV.1839	0	0	0	1	0	0	0	0	0	0	0	0
ASV.1870	0	0	0	1	0	0	0	0	0	0	0	0
ASV.1947	0	0	0	0	0	0	1	0	0	0	0	0
ASV.1951	0	0	0	0	0	0	1	0	0	0	0	0
